Species,Official gene symbol,UI,Sensitivity (human),Sensitivity (mouse),Specificity (human),Specificity (mouse),Cell type,Germ layer,Organ,Aliases,Product description,Disease,Action
Mm Hs,CYP1B1,0.016,0.0,0.25,0.049,0.009,Adipocytes,Mesoderm,Connective tissue,"CP1B,GLC3A",cytochrome P450 family 1 subfamily B member 1,Y,flag
Mm Hs,COL5A3,0.006,0.0,0.125,0.001,0.007,Adipocytes,Mesoderm,Connective tissue,,collagen type V alpha 3 chain,,flag
Mm Hs,STEAP4,0.007,0.0,0.0,0.006,0.0,Adipocytes,Mesoderm,Connective tissue,"FLJ23153,TIARP,STAMP2,SchLAH,TNFAIP9",STEAP4 metalloreductase,,flag
Mm Hs,CCL11,0.008,0.0,0.0,0.003,0.01,Adipocytes,Mesoderm,Connective tissue,"eotaxin,MGC22554,SCYA11",C-C motif chemokine ligand 11,Y,flag
Mm Hs,NR1H3,0.008,0.0,0.125,0.01,0.008,Adipocytes,Mesoderm,Connective tissue,"LXR-a,RLD-1,LXRa",nuclear receptor subfamily 1 group H member 3,,flag
Mm Hs,DEPTOR,0.012,0.0,0.125,0.003,0.014,Adipocytes,Mesoderm,Connective tissue,"DEP.6,FLJ12428,DEPDC6",DEP domain containing MTOR interacting protein,,flag
Mm Hs,CYTH3,0.01,0.0,0.0,0.006,0.011,Adipocytes,Mesoderm,Connective tissue,"GRP1,ARNO3,cytohesin-3,PSCD3",cytohesin 3,,flag
,TUSC5,0.005,0.0,0.0,0.0,0.0,Adipocytes,Mesoderm,Connective tissue,,,,flag
Mm Hs,FMO1,0.012,0.0,0.375,0.0,0.014,Adipocytes,Mesoderm,Connective tissue,,flavin containing monooxygenase 1,,flag
Mm Hs,ACADSB,0.01,0.0,0.125,0.002,0.012,Adipocytes,Mesoderm,Connective tissue,"SBCAD,ACAD7",acyl-CoA dehydrogenase short/branched chain,Y,flag
Mm Hs,XDH,0.011,0.0,0.0,0.005,0.0,Adipocytes,Mesoderm,Connective tissue,"XOR,XO",xanthine dehydrogenase,Y,flag
Mm Hs,RSPO3,0.009,0.0,0.0,0.011,0.0,Adipocytes,Mesoderm,Connective tissue,"FLJ14440,THSD2",R-spondin 3,,flag
Mm Hs,PTGES,0.013,0.0,0.0,0.004,0.013,Adipocytes,Mesoderm,Connective tissue,"MGST-IV,PIG12,MGST1-L1,TP53I12,MGST1L1",prostaglandin E synthase,,flag
Mm Hs,CREB3L1,0.015,0.0,0.0,0.01,0.017,Adipocytes,Mesoderm,Connective tissue,OASIS,cAMP responsive element binding protein 3 like 1,,flag
Mm Hs,ANGPTL2,0.013,0.0,0.0,0.006,0.015,Adipocytes,Mesoderm,Connective tissue,,angiopoietin like 2,,flag
Mm Hs,ADAM12,0.007,0.0,0.125,0.006,0.008,Adipocytes,Mesoderm,Connective tissue,"MCMPMltna,MLTN",ADAM metallopeptidase domain 12,,flag
Mm,ADH1,0.017,0.0,0.25,0.0,0.022,Adipocytes,Mesoderm,Connective tissue,,alcohol dehydrogenase 1 (class I),,flag
Mm Hs,LBP,0.017,0.0,0.25,0.002,0.02,Adipocytes,Mesoderm,Connective tissue,BPIFD2,lipopolysaccharide binding protein,,flag
Mm Hs,NMB,0.013,0.0,0.0,0.026,0.008,Adipocytes,Mesoderm,Connective tissue,"MGC2277,MGC3936,MGC17211",neuromedin B,,flag
Mm Hs,RARRES2,0.03,0.0,0.0,0.079,0.0,Adipocytes,Mesoderm,Connective tissue,"TIG2,HP10433",retinoic acid receptor responder 2,,flag
Mm Hs,FST,0.02,0.286,0.25,0.035,0.015,Adipocytes,Mesoderm,Connective tissue,,follistatin,,flag
Mm Hs,EGFR,0.014,0.0,0.0,0.022,0.013,Adipocytes,Mesoderm,Connective tissue,"ERBB1,ERBB",epidermal growth factor receptor,Y,flag
Mm Hs,CPXM1,0.018,0.0,0.0,0.027,0.016,Adipocytes,Mesoderm,Connective tissue,"CPX-1,CPX1,CPXM","carboxypeptidase X, M14 family member 1",,flag
Mm Hs,C3,0.037,0.0,0.125,0.039,0.038,Adipocytes,Mesoderm,Connective tissue,"CPAMD1,ARMD9,C3a,C3b",complement C3,Y,flag
Mm Hs,ADAMTS5,0.016,0.143,0.125,0.014,0.017,Adipocytes,Mesoderm,Connective tissue,"ADMP-2,ADAMTS11",ADAM metallopeptidase with thrombospondin type 1 motif 5,,flag
Mm Hs,MMP2,0.045,1.0,0.0,0.066,0.039,Adipocytes,Mesoderm,Connective tissue,"TBE-1,CLG4,CLG4A",matrix metallopeptidase 2,Y,flag
Mm Hs,POSTN,0.033,0.286,0.0,0.023,0.035,Adipocytes,Mesoderm,Connective tissue,"OSF-2,PN,periostin",periostin,,flag
Mm Hs,LOX,0.017,0.286,0.25,0.014,0.017,Adipocytes,Mesoderm,Connective tissue,,lysyl oxidase,,flag
Mm Hs,COL6A2,0.056,1.0,0.25,0.101,0.044,Adipocytes,Mesoderm,Connective tissue,,collagen type VI alpha 2 chain,Y,flag
Mm Hs,SYT1,0.093,0.0,0.0,0.021,0.0,Adrenergic neurons,Ectoderm,Brain,SVP65,synaptotagmin 1,,flag
Mm Hs,TH,0.002,0.0,0.0,0.002,0.0,Adrenergic neurons,Ectoderm,Brain,DYT5b,tyrosine hydroxylase,Y,flag
Mm Hs,DDC,0.014,0.0,1.0,0.005,0.017,Adrenergic neurons,Ectoderm,Brain,AADC,dopa decarboxylase,Y,flag
Mm Hs,DBH,0.001,0.0,1.0,0.0,0.001,Adrenergic neurons,Ectoderm,Brain,DBM,dopamine beta-hydroxylase,Y,flag
Mm Hs,PNMT,0.0,0.0,0.0,0.001,0.0,Adrenergic neurons,Ectoderm,Brain,PENT,phenylethanolamine N-methyltransferase,,flag
Mm Hs,SLC18A2,0.006,0.0,0.0,0.001,0.0,Adrenergic neurons,Ectoderm,Brain,"SVMT,SVAT,VMAT2",solute carrier family 18 member A2,,flag
Mm Hs,NPFF,0.0,0.0,0.0,0.0,0.0,Adrenergic neurons,Ectoderm,Brain,FMRFAL,neuropeptide FF-amide peptide precursor,,flag
Mm Hs,SLC12A7,0.006,0.0,0.0,0.003,0.0,Adrenergic neurons,Ectoderm,Brain,"KCC4,DKFZP434F076",solute carrier family 12 member 7,,flag
Mm Hs,CDH1,0.056,0.0,0.0,0.042,0.057,Airway epithelial cells,Endoderm,Lungs,"uvomorulin,CD324,UVO",cadherin 1,Y,flag
Mm Hs,AQP1,0.037,0.0,0.0,0.018,0.042,Airway epithelial cells,Endoderm,Lungs,"CHIP28,CO",aquaporin 1 (Colton blood group),Y,flag
Mm Hs,ADH7,0.006,0.0,0.0,0.004,0.006,Airway epithelial cells,Endoderm,Lungs,ADH-4,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",,flag
Mm Hs,SEC14L3,0.006,0.0,0.0,0.0,0.0,Airway epithelial cells,Endoderm,Lungs,TAP2,SEC14 like lipid binding 3,,flag
Mm,DCPP2,0.001,0.0,1.0,0.0,0.0,Airway goblet cells,Mesoderm,Lungs,,demilune cell and parotid protein 2,,flag
Mm Hs,MSLN,0.004,0.0,0.5,0.001,0.005,Airway goblet cells,Mesoderm,Lungs,MPF,mesothelin,,flag
Mm Hs,AGR2,0.024,0.0,0.625,0.073,0.012,Airway goblet cells,Mesoderm,Lungs,"XAG-2,HAG-2,PDIA17","anterior gradient 2, protein disulphide isomerase family member",,flag
Mm Hs,GP2,0.001,0.0,0.5,0.001,0.001,Airway goblet cells,Mesoderm,Lungs,ZAP75,glycoprotein 2,,flag
Mm Hs,PIGR,0.031,0.0,0.5,0.044,0.029,Airway goblet cells,Mesoderm,Lungs,,polymeric immunoglobulin receptor,Y,flag
Mm Hs,TFF2,0.002,0.0,0.0,0.0,0.0,Airway goblet cells,Mesoderm,Lungs,SML1,trefoil factor 2,,flag
Mm Hs,AQP5,0.018,0.0,0.625,0.042,0.014,Airway goblet cells,Mesoderm,Lungs,,aquaporin 5,Y,flag
Mm,CBR2,0.027,0.0,0.625,0.0,0.033,Airway goblet cells,Mesoderm,Lungs,,carbonyl reductase 2,,flag
Mm Hs,QSOX1,0.029,0.0,0.375,0.044,0.026,Airway goblet cells,Mesoderm,Lungs,QSCN6,quiescin sulfhydryl oxidase 1,,flag
Mm Hs,FXYD3,0.043,0.0,0.625,0.126,0.024,Airway goblet cells,Mesoderm,Lungs,"MAT-8,PLML",FXYD domain containing ion transport regulator 3,,flag
Mm Hs,SEC23B,0.02,0.0,0.0,0.024,0.0,Airway goblet cells,Mesoderm,Lungs,"CDA-II,CDAII,HEMPAS,CDAN2","Sec23 homolog B, coat complex II component",Y,flag
Mm Hs,CEACAM1,0.024,0.0,0.25,0.019,0.026,Airway goblet cells,Mesoderm,Lungs,"BGP1,CD66a,BGP",carcinoembryonic antigen related cell adhesion molecule 1,,flag
Mm Hs,GOLPH3,0.069,0.0,0.375,0.029,0.078,Airway goblet cells,Mesoderm,Lungs,"GPP34,GOPP1,MIDAS,Vps74",golgi phosphoprotein 3,,flag
Mm Hs,GGH,0.069,0.0,0.375,0.108,0.057,Airway goblet cells,Mesoderm,Lungs,,gamma-glutamyl hydrolase,,flag
Mm Hs,MUC5B,0.002,0.0,0.25,0.009,0.0,Airway goblet cells,Mesoderm,Lungs,MG1,"mucin 5B, oligomeric mucus/gel-forming",Y,flag
Mm Hs,MUC16,0.001,0.0,0.25,0.002,0.001,Airway goblet cells,Mesoderm,Lungs,FLJ14303,"mucin 16, cell surface associated",,flag
Mm Hs,LTF,0.016,0.0,1.0,0.006,0.018,Airway goblet cells,Mesoderm,Lungs,HLF2,lactotransferrin,,flag
Mm Hs,SCGB3A1,0.006,0.0,0.0,0.012,0.0,Airway goblet cells,Mesoderm,Lungs,"UGRP2,HIN-1,HIN1,LU105,PnSP-2",secretoglobin family 3A member 1,,flag
Mm,DCPP1,0.001,0.0,0.875,0.0,0.001,Airway goblet cells,Mesoderm,Lungs,,demilune cell and parotid protein 1,,flag
Mm Hs,DMBT1,0.01,0.0,0.5,0.003,0.011,Airway goblet cells,Mesoderm,Lungs,"GP340,muclin,SALSA,Gp-340,hensin,vomeroglandin",deleted in malignant brain tumors 1,,flag
Mm,WFDC18,0.007,,,,,Airway goblet cells,Mesoderm,Lungs,,WAP four-disulfide core domain 18,,flag
Mm,DCPP3,0.001,0.0,1.0,0.0,0.0,Airway goblet cells,Mesoderm,Lungs,,demilune cell and parotid protein 3,,flag
Mm Hs,LIPF,0.001,0.0,1.0,0.0,0.0,Airway goblet cells,Mesoderm,Lungs,,"lipase F, gastric type",,flag
Mm Hs,GALNT5,0.001,0.0,0.0,0.003,0.001,Airway goblet cells,Mesoderm,Lungs,GalNAc-T5,polypeptide N-acetylgalactosaminyltransferase 5,,flag
Mm Hs,GALNT6,0.007,0.0,0.125,0.001,0.008,Airway goblet cells,Mesoderm,Lungs,GalNAc-T6,polypeptide N-acetylgalactosaminyltransferase 6,,flag
Mm Hs,MUC5AC,0.0,0.0,0.0,0.0,0.001,Airway goblet cells,Mesoderm,Lungs,,"mucin 5AC, oligomeric mucus/gel-forming",,flag
Mm Hs,MUC4,0.005,0.0,0.0,0.017,0.003,Airway goblet cells,Mesoderm,Lungs,,"mucin 4, cell surface associated",,flag
Mm Hs,MUC20,0.0,0.0,0.0,0.0,0.0,Airway goblet cells,Mesoderm,Lungs,"FLJ14408,KIAA1359","mucin 20, cell surface associated",,flag
Mm Hs,SPDEF,0.004,0.0,0.0,0.01,0.0,Airway goblet cells,Mesoderm,Lungs,"PDEF,bA375E1.3",SAM pointed domain containing ETS transcription factor,,flag
Mm Hs,DUSP4,0.011,0.0,0.0,0.041,0.004,Airway goblet cells,Mesoderm,Lungs,"HVH2,MKP-2,TYP",dual specificity phosphatase 4,,flag
Mm Hs,NOG,0.002,0.0,0.0,0.005,0.001,Airway smooth muscle cells,Mesoderm,Smooth muscle,SYNS1,noggin,Y,flag
Mm Hs,ACTA2,0.035,0.0,0.0,0.019,0.039,Airway smooth muscle cells,Mesoderm,Smooth muscle,ACTSA,"actin, alpha 2, smooth muscle, aorta",Y,flag
Mm Hs,FOXF1,0.008,0.0,0.0,0.008,0.008,Airway smooth muscle cells,Mesoderm,Smooth muscle,"FREAC1,FKHL5",forkhead box F1,Y,flag
Mm Hs,GATA5,0.002,0.0,0.0,0.001,0.001,Airway smooth muscle cells,Mesoderm,Smooth muscle,"bB379O24.1,GATAS",GATA binding protein 5,Y,flag
Mm Hs,ARX,0.019,0.129,0.35,0.001,0.023,Alpha cells,Endoderm,Pancreas,"ISSX,CT121,EIEE1,MRXS1,PRTS,MRX76,MRX54,MRX43,MRX36,MRX29,MRX32,MRX33,MRX38,MRX87",aristaless related homeobox,Y,flag
Mm Hs,POU3F4,0.004,0.0,0.275,0.002,0.004,Alpha cells,Endoderm,Pancreas,"BRN4,OTF9,DFNX2,DFN3",POU class 3 homeobox 4,Y,flag
Mm Hs,NKX2-2,0.002,0.29,0.075,0.008,0.0,Alpha cells,Endoderm,Pancreas,"NKX2.2,NKX2B",NK2 homeobox 2,,flag
Mm Hs,GCG,0.024,0.839,0.75,0.044,0.018,Alpha cells,Endoderm,Pancreas,"GLP2,GRPP",glucagon,,flag
Mm Hs,TTR,0.055,0.839,0.0,0.066,0.0,Alpha cells,Endoderm,Pancreas,"HsT2651,CTS,PALB,CTS1",transthyretin,Y,flag
Mm Hs,GLP1R,0.0,0.0,0.0,0.0,0.0,Alpha cells,Endoderm,Pancreas,GLP-1R,glucagon like peptide 1 receptor,,flag
Mm Hs,IRX2,0.012,0.097,0.275,0.005,0.012,Alpha cells,Endoderm,Pancreas,,iroquois homeobox 2,,flag
Mm Hs,ALDH1A1,0.039,0.903,0.0,0.08,0.029,Alpha cells,Endoderm,Pancreas,"RALDH1,PUMB1,ALDH1",aldehyde dehydrogenase 1 family member A1,,flag
Mm Hs,PEMT,0.013,0.71,0.0,0.039,0.003,Alpha cells,Endoderm,Pancreas,"PEMPT,PEMT2",phosphatidylethanolamine N-methyltransferase,,flag
Mm Hs,CHGA,0.057,0.968,1.0,0.029,0.06,Alpha cells,Endoderm,Pancreas,,chromogranin A,,flag
4,DEPP1,0.0,,,,,Alpha cells,Endoderm,Pancreas,"DEPP,Fseg,C10orf10","DEPP1, autophagy regulator",,flag
Mm Hs,SMIM24,0.037,0.742,0.0,0.028,0.0,Alpha cells,Endoderm,Pancreas,"HSPC323,C19orf77",small integral membrane protein 24,,flag
Mm Hs,F10,0.011,0.645,0.0,0.009,0.008,Alpha cells,Endoderm,Pancreas,,coagulation factor X,Y,flag
Mm Hs,SCGN,0.014,0.839,0.0,0.022,0.0,Alpha cells,Endoderm,Pancreas,"SECRET,DJ501N12.8,SEGN,CALBL","secretagogin, EF-hand calcium binding protein",,flag
Mm Hs,SLC30A8,0.005,0.677,0.0,0.009,0.0,Alpha cells,Endoderm,Pancreas,ZnT-8,solute carrier family 30 member 8,Y,flag
Mm Hs,SH3GL2,0.025,0.032,0.0,0.002,0.0,Alpha cells,Endoderm,Pancreas,"SH3P4,SH3D2A,CNSA2,EEN-B1","SH3 domain containing GRB2 like 2, endophilin A1",,flag
Hs,SCGB2A1,0.003,0.806,0.0,0.01,0.0,Alpha cells,Endoderm,Pancreas,"UGB3,LPHC,MGC71973,MGB2",secretoglobin family 2A member 1,,flag
Mm Hs,FAP,0.006,0.0,0.0,0.003,0.007,Alpha cells,Endoderm,Pancreas,,fibroblast activation protein alpha,,flag
Mm Hs,DPP4,0.02,0.0,0.0,0.013,0.021,Alpha cells,Endoderm,Pancreas,"CD26,ADCP2",dipeptidyl peptidase 4,,flag
Mm Hs,GPR119,0.0,0.0,0.1,0.0,0.0,Alpha cells,Endoderm,Pancreas,"hGPCR2,GPCR2",G protein-coupled receptor 119,,flag
Mm Hs,MAFB,0.053,0.71,0.7,0.053,0.051,Alpha cells,Endoderm,Pancreas,KRML,MAF bZIP transcription factor B,Y,flag
Mm Hs,PAX6,0.049,0.258,0.85,0.012,0.057,Alpha cells,Endoderm,Pancreas,"D11S812E,AN2",paired box 6,Y,flag
Mm Hs,NEUROD1,0.038,0.806,1.0,0.016,0.041,Alpha cells,Endoderm,Pancreas,"BETA2,BHF-1,NeuroD,bHLHa3,MODY6,NEUROD",neuronal differentiation 1,Y,flag
Mm Hs,LOXL4,0.0,0.129,0.0,0.0,0.0,Alpha cells,Endoderm,Pancreas,"FLJ21889,LOXC",lysyl oxidase like 4,,flag
Mm Hs,PLCE1,0.005,0.032,0.0,0.008,0.005,Alpha cells,Endoderm,Pancreas,"KIAA1516,NPHS3",phospholipase C epsilon 1,Y,flag
Mm Hs,GC,0.009,0.774,0.375,0.007,0.007,Alpha cells,Endoderm,Pancreas,"VDBP,hDBP","GC, vitamin D binding protein",,flag
Mm Hs,KLHL41,0.001,0.032,0.0,0.0,0.001,Alpha cells,Endoderm,Pancreas,"SARCOSIN,Krp1,KBTBD10",kelch like family member 41,Y,flag
Mm Hs,FEV,0.003,0.161,0.475,0.002,0.002,Alpha cells,Endoderm,Pancreas,Pet-1,"FEV, ETS transcription factor",,flag
Mm Hs,PTGER3,0.001,0.0,0.0,0.001,0.001,Alpha cells,Endoderm,Pancreas,EP3,prostaglandin E receptor 3,,flag
Mm Hs,RFX6,0.001,0.226,0.0,0.001,0.0,Alpha cells,Endoderm,Pancreas,"MGC33442,dJ955L16.1,RFXDC1",regulatory factor X6,Y,flag
Mm Hs,SMARCA1,0.015,0.097,0.0,0.041,0.0,Alpha cells,Endoderm,Pancreas,"NURF140,SWI,hSNF2L,SNF2L1,SNF2L","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1",,flag
Mm Hs,PGR,0.003,0.0,0.0,0.007,0.002,Alpha cells,Endoderm,Pancreas,NR3C3,progesterone receptor,Y,flag
Mm Hs,LDB2,0.019,0.0,0.0,0.025,0.019,Alpha cells,Endoderm,Pancreas,LDB1,LIM domain binding 2,,flag
Mm Hs,IRX1,0.009,0.0,0.125,0.0,0.011,Alpha cells,Endoderm,Pancreas,IRX-5,iroquois homeobox 1,,flag
Mm Hs,FXYD5,0.213,0.742,0.0,0.375,0.174,Alpha cells,Endoderm,Pancreas,OIT2,FXYD domain containing ion transport regulator 5,,flag
Mm Hs,RGS4,0.052,0.387,0.0,0.006,0.0,Alpha cells,Endoderm,Pancreas,SCZD9,regulator of G protein signaling 4,,flag
Mm Hs,GLS,0.061,0.097,0.25,0.019,0.072,Alpha cells,Endoderm,Pancreas,"KIAA0838,GLS1",glutaminase,,flag
Mm Hs,UCP2,0.013,0.161,0.0,0.003,0.0,Alpha cells,Endoderm,Pancreas,"SLC25A8,BMIQ4",uncoupling protein 2,Y,flag
Mm Hs,PCSK2,0.032,0.839,0.85,0.017,0.033,Alpha cells,Endoderm,Pancreas,"SPC2,NEC2",proprotein convertase subtilisin/kexin type 2,,flag
Mm Hs,SLC38A5,0.02,0.0,0.0,0.023,0.0,Alpha cells,Endoderm,Pancreas,"SN2,JM24",solute carrier family 38 member 5,,flag
Mm Hs,TM4SF4,0.017,0.806,0.0,0.013,0.0,Alpha cells,Endoderm,Pancreas,il-TMP,transmembrane 4 L six family member 4,,flag
Mm Hs,CRYBA2,0.009,0.968,0.975,0.011,0.005,Alpha cells,Endoderm,Pancreas,,crystallin beta A2,Y,flag
Mm Hs,NKX6-1,0.006,0.032,0.3,0.01,0.005,Alpha cells,Endoderm,Pancreas,"Nkx6.1,NKX6A",NK6 homeobox 1,,flag
Mm Hs,KCNK16,0.007,0.226,0.875,0.006,0.004,Alpha cells,Endoderm,Pancreas,"K2p16.1,TALK-1,TALK1",potassium two pore domain channel subfamily K member 16,,flag
Mm Hs,PCSK1,0.008,0.065,0.225,0.009,0.008,Alpha cells,Endoderm,Pancreas,"PC1,NEC1",proprotein convertase subtilisin/kexin type 1,Y,flag
Mm Hs,PRRG2,0.009,0.065,0.475,0.0,0.01,Alpha cells,Endoderm,Pancreas,PRGP2,proline rich and Gla domain 2,,flag
Mm Hs,RESP18,0.062,0.0,0.0,0.0,0.0,Alpha cells,Endoderm,Pancreas,,regulated endocrine specific protein 18,,flag
Mm Hs,PYY,0.016,0.0,0.925,0.001,0.018,Alpha cells,Endoderm,Pancreas,PYY1,peptide YY,,flag
Mm,CHIL3,0.022,0.0,0.913,0.0,0.021,Alveolar macrophages,Mesoderm,Lungs,,chitinase-like 3,,flag
Mm Hs,PLET1,0.018,0.0,0.793,0.0,0.018,Alveolar macrophages,Mesoderm,Lungs,C11orf34,placenta expressed transcript 1,,flag
Mm Hs,IL1B,0.027,0.0,0.37,0.025,0.026,Alveolar macrophages,Mesoderm,Lungs,"IL1F2,IL-1B,IL1-BETA",interleukin 1 beta,Y,flag
Mm,WFDC21,0.02,,,,,Alveolar macrophages,Mesoderm,Lungs,,WAP four-disulfide core domain 21,,flag
Mm,BGLAP3,0.002,0.0,0.065,0.0,0.002,Alveolar macrophages,Mesoderm,Lungs,,bone gamma-carboxyglutamate protein 3,,flag
Mm Hs,CCL3,0.036,0.0,0.217,0.008,0.042,Alveolar macrophages,Mesoderm,Lungs,"G0S19-1,LD78ALPHA,MIP-1-alpha,SCYA3",C-C motif chemokine ligand 3,Y,flag
Mm Hs,G0S2,0.04,0.0,0.141,0.045,0.037,Alveolar macrophages,Mesoderm,Lungs,,G0/G1 switch 2,,flag
Mm Hs,CXCL2,0.041,0.0,0.62,0.057,0.035,Alveolar macrophages,Mesoderm,Lungs,"SCYB2,GROb,MIP-2a,MGSA-b,CINC-2a,GRO2",C-X-C motif chemokine ligand 2,,flag
Mm Hs,MCEMP1,0.022,0.0,0.826,0.002,0.021,Alveolar macrophages,Mesoderm,Lungs,"MGC132456,C19orf59",mast cell expressed membrane protein 1,,flag
Mm Hs,KLHDC4,0.008,0.0,0.522,0.011,0.004,Alveolar macrophages,Mesoderm,Lungs,DKFZp434G0522,kelch domain containing 4,,flag
Mm,BCL2A1D,0.028,0.0,0.75,0.0,0.029,Alveolar macrophages,Mesoderm,Lungs,,B cell leukemia/lymphoma 2 related protein A1d,,flag
Mm Hs,GDA,0.039,0.0,0.674,0.002,0.044,Alveolar macrophages,Mesoderm,Lungs,,guanine deaminase,,flag
Mm Hs,CLEC7A,0.03,0.0,0.935,0.047,0.02,Alveolar macrophages,Mesoderm,Lungs,"dectin-1,hDectin-1,CD369,SCARE2,CLECSF12",C-type lectin domain containing 7A,Y,flag
Mm,BCL2A1B,0.043,0.0,0.685,0.0,0.048,Alveolar macrophages,Mesoderm,Lungs,,B cell leukemia/lymphoma 2 related protein A1b,,flag
Mm Hs,ITGAX,0.007,0.0,0.435,0.016,0.003,Alveolar macrophages,Mesoderm,Lungs,"CD11c,CD11C",integrin subunit alpha X,,flag
Mm Hs,TNFAIP2,0.027,0.0,0.0,0.04,0.0,Alveolar macrophages,Mesoderm,Lungs,"B94,EXOC3L3",TNF alpha induced protein 2,,flag
Mm Hs,CD36,0.042,0.0,0.489,0.034,0.042,Alveolar macrophages,Mesoderm,Lungs,"SCARB3,GPIV,GP4,GP3B",CD36 molecule,Y,flag
Mm Hs,GAL,0.014,0.0,0.087,0.018,0.011,Alveolar macrophages,Mesoderm,Lungs,"GMAP,GAL-GMAP,GLNN,GALN",galanin and GMAP prepropeptide,Y,flag
Mm,CAR4,0.032,0.0,0.478,0.0,0.037,Alveolar macrophages,Mesoderm,Lungs,,carbonic anhydrase 4,,flag
Mm,EAR2,0.009,0.0,0.902,0.0,0.005,Alveolar macrophages,Mesoderm,Lungs,,"eosinophil-associated, ribonuclease A family, member 2",,flag
Mm Hs,TLR2,0.014,0.0,0.0,0.001,0.0,Alveolar macrophages,Mesoderm,Lungs,"TIL4,CD282",toll like receptor 2,Y,flag
Mm Hs,GPNMB,0.013,0.0,0.196,0.03,0.008,Alveolar macrophages,Mesoderm,Lungs,"NMB,HGFIN",glycoprotein nmb,,flag
Mm Hs,MRC1,0.029,0.0,0.87,0.01,0.03,Alveolar macrophages,Mesoderm,Lungs,"CLEC13D,CD206,bA541I19.1,CLEC13DL,MRC1L1",mannose receptor C-type 1,,flag
Mm,LYZ1,0.031,0.0,0.543,0.0,0.035,Alveolar macrophages,Mesoderm,Lungs,,lysozyme 1,,flag
Mm Hs,MARCO,0.003,0.0,0.239,0.004,0.002,Alveolar macrophages,Mesoderm,Lungs,"SCARA2,SR-A6",macrophage receptor with collagenous structure,,flag
Mm Hs,CSF2RB,0.018,0.0,0.522,0.003,0.018,Alveolar macrophages,Mesoderm,Lungs,"IL5RB,CD131,betaGMR,IL3RB",colony stimulating factor 2 receptor beta common subunit,Y,flag
Mm Hs,MPP1,0.043,0.0,0.217,0.047,0.041,Alveolar macrophages,Mesoderm,Lungs,"PEMP,DXS552E",membrane palmitoylated protein 1,,flag
Mm Hs,TRIM25,0.027,0.0,0.0,0.018,0.0,Alveolar macrophages,Mesoderm,Lungs,"EFP,RNF147,ZNF147",tripartite motif containing 25,,flag
Mm Hs,GNGT2,0.054,0.0,0.63,0.0,0.062,Alveolar macrophages,Mesoderm,Lungs,GNG9,G protein subunit gamma transducin 2,,flag
Mm,SIGLECF,0.002,,,,,Alveolar macrophages,Mesoderm,Lungs,,sialic acid binding Ig-like lectin F,,flag
Mm,EAR1,0.003,0.0,0.609,0.0,0.0,Alveolar macrophages,Mesoderm,Lungs,,"eosinophil-associated, ribonuclease A family, member 1",,flag
Mm Hs,OLR1,0.004,0.0,0.478,0.008,0.0,Alveolar macrophages,Mesoderm,Lungs,"LOX-1,SCARE1,CLEC8A",oxidized low density lipoprotein receptor 1,Y,flag
Mm Hs,S100A4,0.098,0.0,0.0,0.371,0.0,Alveolar macrophages,Mesoderm,Lungs,"P9KA,18A2,PEL98,42A,CAPL",S100 calcium binding protein A4,,flag
Mm Hs,POMC,0.008,0.0,0.821,0.024,0.004,Anterior pituitary gland cells,Ectoderm,Brain,"POC,ACTH,NPP,LPH",proopiomelanocortin,Y,flag
Mm Hs,GMPPA,0.013,0.0,0.25,0.007,0.013,Anterior pituitary gland cells,Ectoderm,Brain,,GDP-mannose pyrophosphorylase A,Y,flag
Mm,TRIM30B,0.003,,,,,Anterior pituitary gland cells,Ectoderm,Brain,,tripartite motif-containing 30B,,flag
Mm Hs,GNB3,0.005,0.0,0.464,0.001,0.006,Anterior pituitary gland cells,Ectoderm,Brain,,G protein subunit beta 3,Y,flag
Mm Hs,HEPACAM2,0.012,0.0,0.214,0.011,0.012,Anterior pituitary gland cells,Ectoderm,Brain,FLJ38683,HEPACAM family member 2,,flag
Mm Hs,ASB4,0.005,0.0,0.107,0.0,0.006,Anterior pituitary gland cells,Ectoderm,Brain,ASB-4,ankyrin repeat and SOCS box containing 4,,flag
Mm Hs,RAX,0.006,0.0,0.0,0.0,0.0,Anterior pituitary gland cells,Ectoderm,Brain,RX,retina and anterior neural fold homeobox,Y,flag
Mm Hs,NKX2-1,0.01,0.0,0.071,0.005,0.011,Anterior pituitary gland cells,Ectoderm,Brain,"TTF-1,TTF1,NKX2A,BCH,TITF1",NK2 homeobox 1,Y,flag
Mm Hs,FGF10,0.001,0.0,0.071,0.001,0.002,Anterior pituitary gland cells,Ectoderm,Brain,,fibroblast growth factor 10,Y,flag
Mm Hs,FSHB,0.0,0.0,0.143,0.0,0.0,Anterior pituitary gland cells,Ectoderm,Brain,,follicle stimulating hormone subunit beta,Y,flag
Mm Hs,PCSK1,0.008,0.0,0.107,0.009,0.008,Anterior pituitary gland cells,Ectoderm,Brain,"PC1,NEC1",proprotein convertase subtilisin/kexin type 1,Y,flag
Mm Hs,GNRHR,0.0,0.0,0.107,0.0,0.0,Anterior pituitary gland cells,Ectoderm,Brain,"LHRHR,GRHR",gonadotropin releasing hormone receptor,Y,flag
